"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"166","13095","Dougherty County, Georgia",34835,1359,31571,1442,22321,1833,1058,527,30513,1481,9250,1678,3264,914
"167","13097","Douglas County, Georgia",51441,1169,49405,1641,42625,2458,1140,583,48265,1775,6780,2059,2036,1075
"168","13103","Effingham County, Georgia",23373,837,22601,902,19350,1380,192,183,22409,962,3251,1267,772,442
"169","13113","Fayette County, Georgia",43689,1072,42591,1226,39015,1652,1537,799,41054,1492,3576,1248,1098,592
"170","13115","Floyd County, Georgia",35417,1313,33230,1412,25282,1597,904,427,32326,1438,7948,1598,2187,691
"171","13117","Forsyth County, Georgia",86475,1302,85830,1330,81503,1543,1486,529,84344,1388,4327,1049,645,326
"172","13121","Fulton County, Georgia",467735,4859,455284,5115,415142,6479,9172,1998,446112,5477,40142,4719,12451,2414
"173","13127","Glynn County, Georgia",34137,1841,32466,2019,25415,2641,943,544,31523,2043,7051,1697,1671,820
"174","13135","Gwinnett County, Georgia",323014,2652,318554,2958,290802,4402,5851,1154,312703,3181,27752,3283,4460,1482
"175","13139","Hall County, Georgia",72454,1662,68119,2136,57758,2220,1789,729,66330,2098,10361,1829,4335,1386
"176","13151","Henry County, Georgia",84978,1493,81754,2075,73014,2788,1347,651,80407,2131,8740,1970,3224,1263
"177","13153","Houston County, Georgia",60815,1799,58149,2218,49708,2660,1160,517,56989,2255,8441,2222,2666,1058
"178","13157","Jackson County, Georgia",25272,1409,24424,1364,20341,1636,429,328,23995,1364,4083,1160,848,523
"179","13179","Liberty County, Georgia",23883,1164,22784,1284,18364,1321,400,255,22384,1304,4420,1053,1099,515
"180","13185","Lowndes County, Georgia",45139,1469,43726,1563,33599,2274,611,382,43115,1566,10127,1814,1413,566
"181","13215","Muscogee County, Georgia",82663,2071,77693,2600,59581,3309,1559,544,76134,2636,18112,2808,4970,1305
