"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"9605","19163013000","Census Tract 130, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,4504,470
"9606","19163013000","Census Tract 130, Scott County, Iowa","Arabic",0,10,4504,470
"9607","19163013000","Census Tract 130, Scott County, Iowa","Other and unspecified languages",0,10,4504,470
"9608","19163013100","Census Tract 131, Scott County, Iowa","Speak only English",1859,272,1910,269
"9609","19163013100","Census Tract 131, Scott County, Iowa","Spanish",15,13,1910,269
"9610","19163013100","Census Tract 131, Scott County, Iowa","French, Haitian, or Cajun",11,12,1910,269
"9611","19163013100","Census Tract 131, Scott County, Iowa","German or other West Germanic languages",7,10,1910,269
"9612","19163013100","Census Tract 131, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,1910,269
"9613","19163013100","Census Tract 131, Scott County, Iowa","Other Indo-European languages",0,10,1910,269
"9614","19163013100","Census Tract 131, Scott County, Iowa","Korean",0,10,1910,269
"9615","19163013100","Census Tract 131, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",18,26,1910,269
"9616","19163013100","Census Tract 131, Scott County, Iowa","Vietnamese",0,10,1910,269
"9617","19163013100","Census Tract 131, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,1910,269
"9618","19163013100","Census Tract 131, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,1910,269
"9619","19163013100","Census Tract 131, Scott County, Iowa","Arabic",0,10,1910,269
"9620","19163013100","Census Tract 131, Scott County, Iowa","Other and unspecified languages",0,10,1910,269
"9621","19163013200","Census Tract 132, Scott County, Iowa","Speak only English",1653,179,1665,179
"9622","19163013200","Census Tract 132, Scott County, Iowa","Spanish",8,11,1665,179
"9623","19163013200","Census Tract 132, Scott County, Iowa","French, Haitian, or Cajun",0,10,1665,179
"9624","19163013200","Census Tract 132, Scott County, Iowa","German or other West Germanic languages",4,6,1665,179
"9625","19163013200","Census Tract 132, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,1665,179
"9626","19163013200","Census Tract 132, Scott County, Iowa","Other Indo-European languages",0,10,1665,179
"9627","19163013200","Census Tract 132, Scott County, Iowa","Korean",0,10,1665,179
"9628","19163013200","Census Tract 132, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,1665,179
"9629","19163013200","Census Tract 132, Scott County, Iowa","Vietnamese",0,10,1665,179
"9630","19163013200","Census Tract 132, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,1665,179
"9631","19163013200","Census Tract 132, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,1665,179
"9632","19163013200","Census Tract 132, Scott County, Iowa","Arabic",0,10,1665,179
"9633","19163013200","Census Tract 132, Scott County, Iowa","Other and unspecified languages",0,10,1665,179
"9634","19163013300","Census Tract 133, Scott County, Iowa","Speak only English",3034,323,3091,335
"9635","19163013300","Census Tract 133, Scott County, Iowa","Spanish",34,41,3091,335
"9636","19163013300","Census Tract 133, Scott County, Iowa","French, Haitian, or Cajun",0,10,3091,335
"9637","19163013300","Census Tract 133, Scott County, Iowa","German or other West Germanic languages",0,10,3091,335
"9638","19163013300","Census Tract 133, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,3091,335
"9639","19163013300","Census Tract 133, Scott County, Iowa","Other Indo-European languages",14,24,3091,335
"9640","19163013300","Census Tract 133, Scott County, Iowa","Korean",0,10,3091,335
"9641","19163013300","Census Tract 133, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,3091,335
"9642","19163013300","Census Tract 133, Scott County, Iowa","Vietnamese",0,10,3091,335
"9643","19163013300","Census Tract 133, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,3091,335
"9644","19163013300","Census Tract 133, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,3091,335
"9645","19163013300","Census Tract 133, Scott County, Iowa","Arabic",9,15,3091,335
"9646","19163013300","Census Tract 133, Scott County, Iowa","Other and unspecified languages",0,10,3091,335
"9647","19163013400","Census Tract 134, Scott County, Iowa","Speak only English",2964,402,3014,406
"9648","19163013400","Census Tract 134, Scott County, Iowa","Spanish",27,34,3014,406
"9649","19163013400","Census Tract 134, Scott County, Iowa","French, Haitian, or Cajun",0,10,3014,406
"9650","19163013400","Census Tract 134, Scott County, Iowa","German or other West Germanic languages",0,10,3014,406
"9651","19163013400","Census Tract 134, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,3014,406
"9652","19163013400","Census Tract 134, Scott County, Iowa","Other Indo-European languages",23,35,3014,406
"9653","19163013400","Census Tract 134, Scott County, Iowa","Korean",0,10,3014,406
"9654","19163013400","Census Tract 134, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,3014,406
"9655","19163013400","Census Tract 134, Scott County, Iowa","Vietnamese",0,10,3014,406
"9656","19163013400","Census Tract 134, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,3014,406
"9657","19163013400","Census Tract 134, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,3014,406
"9658","19163013400","Census Tract 134, Scott County, Iowa","Arabic",0,10,3014,406
"9659","19163013400","Census Tract 134, Scott County, Iowa","Other and unspecified languages",0,10,3014,406
"9660","19163013500","Census Tract 135, Scott County, Iowa","Speak only English",3541,499,3602,497
"9661","19163013500","Census Tract 135, Scott County, Iowa","Spanish",18,19,3602,497
"9662","19163013500","Census Tract 135, Scott County, Iowa","French, Haitian, or Cajun",11,15,3602,497
"9663","19163013500","Census Tract 135, Scott County, Iowa","German or other West Germanic languages",4,6,3602,497
"9664","19163013500","Census Tract 135, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,3602,497
"9665","19163013500","Census Tract 135, Scott County, Iowa","Other Indo-European languages",0,10,3602,497
"9666","19163013500","Census Tract 135, Scott County, Iowa","Korean",22,35,3602,497
"9667","19163013500","Census Tract 135, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,3602,497
"9668","19163013500","Census Tract 135, Scott County, Iowa","Vietnamese",0,10,3602,497
"9669","19163013500","Census Tract 135, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,3602,497
"9670","19163013500","Census Tract 135, Scott County, Iowa","Other Asian and Pacific Island languages",6,11,3602,497
"9671","19163013500","Census Tract 135, Scott County, Iowa","Arabic",0,10,3602,497
"9672","19163013500","Census Tract 135, Scott County, Iowa","Other and unspecified languages",0,10,3602,497
"9673","19163013600","Census Tract 136, Scott County, Iowa","Speak only English",2249,297,2328,296
"9674","19163013600","Census Tract 136, Scott County, Iowa","Spanish",60,66,2328,296
"9675","19163013600","Census Tract 136, Scott County, Iowa","French, Haitian, or Cajun",0,10,2328,296
"9676","19163013600","Census Tract 136, Scott County, Iowa","German or other West Germanic languages",15,23,2328,296
"9677","19163013600","Census Tract 136, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,2328,296
"9678","19163013600","Census Tract 136, Scott County, Iowa","Other Indo-European languages",4,6,2328,296
"9679","19163013600","Census Tract 136, Scott County, Iowa","Korean",0,10,2328,296
"9680","19163013600","Census Tract 136, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2328,296
"9681","19163013600","Census Tract 136, Scott County, Iowa","Vietnamese",0,10,2328,296
"9682","19163013600","Census Tract 136, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,2328,296
"9683","19163013600","Census Tract 136, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,2328,296
"9684","19163013600","Census Tract 136, Scott County, Iowa","Arabic",0,10,2328,296
"9685","19163013600","Census Tract 136, Scott County, Iowa","Other and unspecified languages",0,10,2328,296
"9686","19163013702","Census Tract 137.02, Scott County, Iowa","Speak only English",4842,481,5344,537
"9687","19163013702","Census Tract 137.02, Scott County, Iowa","Spanish",14,21,5344,537
"9688","19163013702","Census Tract 137.02, Scott County, Iowa","French, Haitian, or Cajun",0,15,5344,537
"9689","19163013702","Census Tract 137.02, Scott County, Iowa","German or other West Germanic languages",14,21,5344,537
"9690","19163013702","Census Tract 137.02, Scott County, Iowa","Russian, Polish, or other Slavic languages",5,8,5344,537
"9691","19163013702","Census Tract 137.02, Scott County, Iowa","Other Indo-European languages",341,252,5344,537
"9692","19163013702","Census Tract 137.02, Scott County, Iowa","Korean",25,40,5344,537
"9693","19163013702","Census Tract 137.02, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",51,59,5344,537
"9694","19163013702","Census Tract 137.02, Scott County, Iowa","Vietnamese",0,15,5344,537
"9695","19163013702","Census Tract 137.02, Scott County, Iowa","Tagalog (incl. Filipino)",0,15,5344,537
"9696","19163013702","Census Tract 137.02, Scott County, Iowa","Other Asian and Pacific Island languages",52,48,5344,537
