"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"250","30111","Yellowstone County, Montana",65962,1512,60138,1872,260,290,56301,1912,3577,903,5824,1237
"251","31055","Douglas County, Nebraska",218390,2291,198567,3091,624,357,186410,2801,11533,1587,19823,1945
"252","31109","Lancaster County, Nebraska",122954,1823,115782,2068,361,269,108172,2558,7249,1448,7172,1080
"253","31153","Sarpy County, Nebraska",65715,1067,62855,1078,186,189,60751,1270,1918,614,2860,575
"254","32003","Clark County, Nevada",781796,5934,728859,7035,1840,547,646118,7540,80901,4518,52937,3797
"255","32031","Washoe County, Nevada",180851,2093,169933,2774,374,262,150331,3697,19228,2683,10918,1718
"256","33005","Cheshire County, New Hampshire",29385,1307,26358,1170,141,121,24466,1309,1751,766,3027,728
"257","33009","Grafton County, New Hampshire",33672,1842,30837,2074,141,80,28344,2091,2352,798,2835,849
"258","33011","Hillsborough County, New Hampshire",161414,1779,153026,2350,833,353,147220,2624,4973,1073,8388,1457
"259","33013","Merrimack County, New Hampshire",58220,1355,54205,1589,212,159,50327,1605,3666,952,4015,807
"260","33015","Rockingham County, New Hampshire",120096,2093,113784,2391,240,196,108813,2486,4731,1364,6312,1265
"261","33017","Strafford County, New Hampshire",48988,1341,46620,1396,208,196,43148,1602,3264,1022,2368,588
"262","34001","Atlantic County, New Jersey",97618,2623,88929,2872,319,246,80600,2692,8010,1727,8689,1361
"263","34003","Bergen County, New Jersey",338516,2359,316429,3047,963,423,305416,3385,10050,1692,22087,2246
"264","34005","Burlington County, New Jersey",164248,2219,154450,2623,406,273,146522,2727,7522,1333,9798,1499
"265","34007","Camden County, New Jersey",190616,2205,174363,2919,408,252,157588,3350,16367,2632,16253,1874
"266","34009","Cape May County, New Jersey",39526,2005,36807,2070,138,98,33927,2111,2742,851,2719,603
